#Date       Time        gpu    fb  bar1   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol
#YYYYMMDD   HH:MM:SS    Idx    MB    MB     W     C     C     %     %     %     %   MHz   MHz     %  bool
 20210225   22:52:40      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:52:41      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:52:42      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:52:43      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:52:44      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:52:45      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:52:46      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:52:47      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:52:48      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:52:49      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:52:50      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:52:51      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:52:52      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:52:53      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:52:54      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:52:55      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:52:56      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:52:57      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:52:58      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:52:59      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:53:00      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:53:01      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:53:02      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:53:03      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:53:04      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:53:05      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:53:06      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:53:07      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:53:08      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:53:09      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:53:10      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:53:11      1     0     2    25    26     -     0     0     0     0   715   405     0     0
#Date       Time        gpu    fb  bar1   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol
#YYYYMMDD   HH:MM:SS    Idx    MB    MB     W     C     C     %     %     %     %   MHz   MHz     %  bool
 20210225   22:53:12      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:53:13      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:53:14      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:53:15      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:53:16      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:53:17      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:53:18      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:53:19      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:53:21      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:53:22      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:53:23      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:53:24      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:53:25      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:53:26      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:53:27      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:53:28      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:53:29      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:53:30      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:53:31      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:53:32      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:53:33      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:53:34      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:53:35      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:53:36      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:53:37      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:53:38      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:53:39      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:53:40      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:53:41      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:53:42      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:53:43      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:53:44      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:53:45      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:53:46      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:53:47      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:53:48      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:53:49      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:53:50      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:53:51      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:53:52      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:53:53      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:53:54      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:53:55      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:53:56      1     0     2    25    26     -     0     0     0     0   715   405     0     0
#Date       Time        gpu    fb  bar1   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol
#YYYYMMDD   HH:MM:SS    Idx    MB    MB     W     C     C     %     %     %     %   MHz   MHz     %  bool
 20210225   22:53:57      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:53:58      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:53:59      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:54:00      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:54:01      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:54:02      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:54:03      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:54:04      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:54:05      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:54:06      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:54:07      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:54:08      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:54:09      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:54:10      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:54:11      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:54:12      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:54:13      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:54:14      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:54:15      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:54:16      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:54:17      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:54:18      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:54:19      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:54:20      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:54:21      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:54:22      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:54:23      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:54:24      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:54:25      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:54:26      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:54:27      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:54:28      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:54:29      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:54:30      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:54:31      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:54:32      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:54:33      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:54:34      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:54:35      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:54:36      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:54:37      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:54:38      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:54:39      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:54:40      1     0     2    24    26     -     0     0     0     0   715   405     0     0
#Date       Time        gpu    fb  bar1   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol
#YYYYMMDD   HH:MM:SS    Idx    MB    MB     W     C     C     %     %     %     %   MHz   MHz     %  bool
 20210225   22:54:41      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:54:43      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:54:44      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:54:45      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:54:46      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:54:47      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:54:48      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:54:49      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:54:50      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:54:51      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:54:52      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:54:53      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:54:54      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:54:55      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:54:56      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:54:57      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:54:58      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:54:59      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:55:00      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:55:01      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:55:02      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:55:03      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:55:04      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:55:05      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:55:06      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:55:07      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:55:08      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:55:09      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:55:10      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:55:11      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:55:12      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:55:13      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:55:14      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:55:15      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:55:16      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:55:17      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:55:18      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:55:19      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:55:20      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:55:21      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:55:22      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:55:23      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:55:24      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:55:25      1     0     2    25    26     -     0     0     0     0   715   405     0     0
#Date       Time        gpu    fb  bar1   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol
#YYYYMMDD   HH:MM:SS    Idx    MB    MB     W     C     C     %     %     %     %   MHz   MHz     %  bool
 20210225   22:55:26      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:55:27      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:55:28      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:55:29      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:55:30      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:55:31      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:55:32      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:55:33      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:55:34      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:55:35      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:55:36      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:55:37      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:55:38      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:55:39      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:55:40      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:55:41      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:55:42      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:55:43      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:55:44      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:55:46      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:55:47      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:55:48      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:55:49      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:55:50      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:55:51      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:55:52      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:55:53      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:55:54      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:55:55      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:55:56      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:55:57      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:55:58      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:55:59      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:56:00      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:56:01      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:56:02      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:56:03      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:56:04      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:56:05      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:56:06      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:56:07      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:56:08      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:56:09      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:56:10      1     0     2    24    26     -     0     0     0     0   715   405     0     0
#Date       Time        gpu    fb  bar1   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol
#YYYYMMDD   HH:MM:SS    Idx    MB    MB     W     C     C     %     %     %     %   MHz   MHz     %  bool
 20210225   22:56:11      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:56:12      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:56:13      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:56:14      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:56:15      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:56:16      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:56:17      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:56:18      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:56:19      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:56:20      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:56:21      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:56:22      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:56:23      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:56:24      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:56:25      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:56:26      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:56:27      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:56:28      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:56:29      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:56:30      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:56:31      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:56:32      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:56:33      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:56:34      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:56:35      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:56:36      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:56:37      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:56:38      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:56:39      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:56:40      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:56:41      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:56:42      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:56:43      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:56:44      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:56:45      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:56:46      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:56:47      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:56:48      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:56:49      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:56:50      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:56:51      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:56:52      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:56:53      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:56:54      1     0     2    24    26     -     0     0     0     0   715   405     0     0
#Date       Time        gpu    fb  bar1   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol
#YYYYMMDD   HH:MM:SS    Idx    MB    MB     W     C     C     %     %     %     %   MHz   MHz     %  bool
 20210225   22:56:55      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:56:56      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:56:57      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:56:58      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:57:00      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:57:01      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:57:02      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:57:03      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:57:04      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:57:05      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:57:06      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:57:07      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:57:08      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:57:09      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:57:10      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:57:11      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:57:12      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:57:13      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:57:14      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:57:15      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:57:16      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:57:17      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:57:18      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:57:19      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:57:20      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:57:21      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:57:22      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:57:23      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:57:24      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:57:25      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:57:26      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:57:27      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:57:28      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:57:29      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:57:30      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:57:31      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:57:32      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:57:33      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:57:34      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:57:35      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:57:36      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:57:37      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:57:38      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:57:39      1     0     2    25    26     -     0     0     0     0   715   405     0     0
#Date       Time        gpu    fb  bar1   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol
#YYYYMMDD   HH:MM:SS    Idx    MB    MB     W     C     C     %     %     %     %   MHz   MHz     %  bool
 20210225   22:57:40      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:57:41      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:57:42      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:57:43      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:57:44      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:57:45      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:57:46      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:57:47      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:57:48      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:57:49      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:57:50      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:57:51      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:57:52      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:57:53      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:57:54      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:57:55      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:57:56      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:57:57      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:57:58      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:57:59      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:58:00      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:58:01      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:58:02      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:58:03      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:58:04      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:58:05      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:58:07      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:58:08      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:58:09      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:58:10      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:58:11      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:58:12      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:58:13      1     0     2    24    26     -     0     0     0     0   715   405     0     0
 20210225   22:58:14      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:58:15      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:58:16      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:58:17      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:58:18      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:58:19      1     0     2    25    26     -     0     0     0     0   715   405     0     0
 20210225   22:58:20      1     0     2    25    26     -     0     0     0     0   715   405     0     0
